topicId,words..
1,america year world nation years president americans people peace time
2,federal congress program programs year government health system act past
3,nation nations government united people power world states business clear
4,congress people government great made states today american years life
5,economic country strength legislation economy public program security efforts farm
6,energy states soviet united nuclear years administration world major security
7,america tonight ve future freedom work people budget growth spending
8,tax billion american time year make long world put back
9,world national work labor security problems time part free future
10,war world nations defense military free peace freedom united men
