topicId,words..
1,states united state act congress laws law president persons general
2,people america nation man life great day years time american
3,government year people increase interest national large countries time country
4,president mr people country time made united south vietnam question
5,government people power constitution union state law men principle public
6,congress public country made subject present general time consideration citizens
7,world peace war nations united nation freedom men today american
8,states united government war treaty great nations mexico peace territory
9,work law american business made labor great public men congress
10,people year congress ve years tax government america make percent
